Language,numberofpages,author,bookEdition,description,title,GoodReadAverageRating,bookformat,NumberofRatings,id
English,260 pages,Ilona Andrews,Ace,"As a mercenary who cleans up after magic gone wrong, Kate Daniels has seen her share of occupational hazards. Normally, waves of paranormal energy ebb and flow across Atlanta like a tide. But once every seven years, a flare comes, a time when magic runs rampant. Now Kate’s going to have to deal with problems",Magic Burns,4.33,Mass Market Paperback,55942,1811543
English,73 pages,Edgar Allan Poe,Scholastic Classics,"The Raven . . . Annabel Lee . . . Ulalume . . . these are some of the spookiest, most macabre poems ever written, now collected in this chilling, affordable volume.",The Raven and Other Poems,4.3,Paperback,34760,269322
English,488 pages,Nora Roberts,First Edition,"Several years ago, Fiona was the only survivor of the Red Scarf Ki",The Search,4.11,Hardcover,38868,7076706
English,470 pages,John Fowles,Vintage Classics,"The scene is the village of Lyme Regis on Dorset's Lyme Bay...""the largest bite from the underside of England's out-stretched southwestern leg."" The major characters in the love-intrigue triangle are Charles Smithson, 32, a gentleman of independent means & vaguely scientific bent; his fiancée, Ernestina Freeman, a pretty heiress daughter of a wealthy & pompous dry goods merchant; & Sarah Woodruff, mysterious & fascinating...deserted after a brief affair with a French naval officer a short time before the story begins. Obsessed with an irresistible fascination for the enigmatic Sarah, Charles is hurtled by a moment of consummated lust to the brink of the existential void. Duty dictates that his engagement to Tina must be broken as he goes forth once again to seek the woman who has captured his Victorian soul & gentleman's heart.",The French Lieutenant's Woman,3.86,Paperback,39030,56034
English,430 pages,Lawrence Wright,First Edition,". Based on more than two hundred personal interviews with both current and former Scientologists--both famous and less well known--and years of archival research, Lawrence Wright uses his extr","Going Clear: Scientology, Hollywood, and the Prison of Belief",4.02,Hardcover,30780,16142053
English,466 pages,Samantha Shannon,US,It is raining the day her life chan,The Bone Season,3.75,Hardcover,42977,17199504
English,184 pages,Jerome K. Jerome,Penguin Popular Classics,"Martyrs to hypochondria and general seediness, J. and his friends George and Harris decide that a jaunt up the Thames would suit them to a ‘T’. But when they set off, they can hardly predict the troubles that lie ahead with tow-ropes, unreliable weather forecasts and tins of pineapple chunks—not to mention the devastation left in the wake of J.’s small fox-terrier Montmorency.",Three Men in a Boat (To Say Nothing of the Dog),3.9,Mass Market Paperback,39324,4921
English,164 pages,Janet Evanovich,First Edition,"Mysterious men have a way of showing up in Stephanie Plum's apartment. When the shadowy Diesel appears, he has a task for Stephanie--and he's not taking no for an answer. Annie Hart is a ""relationship expert"" who is wanted for armed robbery and assault with a deadly weapon. Stephanie needs to find her, fast. Diesel knows where she is. So they make a deal: He'll help her get Annie if Stephanie plays matchmaker to several of Annie's most difficult clients. But someone wants to find Annie even more than Diesel and Stephanie. Someone with a nasty temper. And someone with ""unmentionable"" skills. Does Diesel know more than he's saying about Annie Hart? Does Diesel have secrets he's keeping from Stephanie and the two men in her life--Ranger and Morelli? With Stephanie Plum in over her head, things are sure to get a little dicey and a little explosive, Jersey style!",Plum Lovin',3.7,Hardcover,45773,6419
English,359 pages,Kelley Armstrong,First Edition,"Sixteen-year-old Maya is just an ordinary teen in an ordinary town. Sure, she doesn't know much about her background - the only thing she really has to cling to is an odd paw-print birthmark on her hip - but she never really put much thought into who her parents were or how she ended up with her adopted parents in this tiny medical-research community on Vancouver Island.",The Gathering,4.03,Hardcover,51186,7896345
English,240 pages,Alexander Pushkin,Oxford World's Classics,"Eugene Onegin is the master work of the poet whom Russians regard as the fountainhead of their literature. Set in imperial Russia during the 1820s, Pushkin's novel in verse follows the emotions and destiny of three men - Onegin the bored fop, Lensky the minor elegiast, and a stylized Pushkin himself - and the fates and affections of three women - Tatyana the provincial beauty, her sister Olga, and Pushkin's mercurial Muse. Engaging, full of suspense, and varied in tone, it also portrays a large cast of other characters and offers the reader many literary, philosophical, and autobiographical digressions, often in a highly satirical vein. Eugene Onegin was Pushkin's own favourite work, and it shows him attempting to transform himself from romantic poet into realistic novelist. This new translation seeks to retain both the literal sense and the poetic music of the original, and capture the poem's spontaneity and wit. The introduction examines several ways of reading the novel, and the text is richly annotated.",Евгений Онегин: Роман в стихах ,4.08,Paperback,38364,27822
English,302 pages,P.C. Cast,First Edition,With the seeds of distrust sown and Darkness breeding chaos at the Hous,Hidden,3.98,Hardcover,42518,7933615
English,389 pages,James Patterson,First Edition,"Just when Alex thought his life was calming down into a routine of patients and therapy sessions, he finds himself back in the game--this time to catch a criminal mastermind like no other. A spate of elaborate murders in Washington D.C. have the whole East Coast on edge. They are like nothing Alex Cross and his new girlfriend, Detective Brianna Stone, have ever seen. With each murder, the case becomes increasingly complex. There's only one thing Alex knows: the killer adores an audience. As victims are made into gruesome spectacles citywide, inducing a media hysteria, it becomes clear to Alex that the man he's after is a genius of terror--and he's after fame. The killer has the whole city by its strings--and he'll stop at nothing to become the most terrifying star that Washington D.C. has ever seen",Double Cross,3.99,Hardcover,36999,552887
English,822 pages,Douglas R. Hofstadter,20th Anniversary Edition,"Douglas Hofstadter's book is concerned directly with the nature of “maps” or links between formal systems. However, according to Hofstadter, the formal system that underlies all mental activity transcends the system that supports it. If life can grow out of the formal chemical substrate of the cell, if consciousness can emerge out of a formal system of firing neurons, then so too will computers attain human intelligence. Gödel, Escher, Bach is a wonderful exploration of fascinating ideas at the heart of cognitive science: meaning, reduction, recursion, and much more.","Gödel, Escher, Bach: An Eternal Golden Braid",4.3,Paperback,33831,24113
English,469 pages,Tamora Pierce,First Trade Paperback Edition," beautiful, dramatic, and rash - will she fulfill the role chosen for her by destiny?",Trickster's Queen,4.28,Paperback,47705,153780
English,734 pages,James Clavell,Reprint,.,Tai-Pan,4.25,Mass Market Paperback,36495,42933
English,96 pages,Edwin A. Abbott,Dover Thrift Edition,"Edwin Abbott Abbott (December 20, 1838 - 1926), English schoolmaster and theologian, is best known as the author of the mathematical satire Flatland (1884).",Flatland: A Romance of Many Dimensions,3.81,Paperback,39661,433567
English,608 pages,J.R. Ward,First Edition,"Qhuinn, son of no one, is used to being on his own. Disavowed from his bloodline, shunned by the aristocracy, he has finally found an identity as one of the most brutal fighters in the war against the Lessening Society. But his life is not complete. Even as the prospect of having a family of his own seems to be within reach, he is empty on the inside, his heart given to another....",Lover at Last,4.3,Hardcover,52293,13570854
English,455 pages,Kim Harrison,1st Edition,"As Rachel searches for the truth behind a terrifying murder, an even greater menace threatens, for the demon Algaliarept will stop at nothing to claim her, and the discovery of a shocking family secret throws Rachel'",The Outlaw Demon Wails ,4.38,Hardcover,47754,1225621
English,468 pages,Dan Wells,1st Edition,"Humanity is all but extinguished after a war with Partials—engineered organic beings identical to humans—has decimated the population. Reduced to only tens of thousands by a weaponized virus to which only a fraction of humanity is immune, the survivors in North America have huddled together on Long Island. But sixteen-year-old Kira is determined to find a solution. As she tries desperately to save what is left of her race, she discovers that that the survival of both humans and Partials rests in her attempts to answer questions about the war's origin that she never knew to ask.",Partials,3.94,Hardcover,45222,12476820
English,432 pages,Margret Rey,70th Anniversary Edition,"“This is George. He lived in Africa. He was a good little monkey, and always very curious.” With these words, H. A. and Margret Rey introduced the world to Curious George in 1941, and the world has loved him ever since. The tales of this cheerful and resilient little hero have kept generations of readers enthralled and entertained. Now, in recognition of the sixtieth anniversary of his debut, Houghton Mifflin proudly presents a special edition of George’s best-loved adventures.",The Complete Adventures of Curious George,4.23,Hardcover,40004,808853
English,456 pages,Kim Harrison,1st Edition,"Despite dating one vampire and living with another, Rachel Morgan has stayed ahead of trouble until now. A serial killer stalks the Hollows, claims victims across society, and ignites a vicious Inderland gang war. Rachel hides an ancient artifact that could stop the killer or start a battle to the death among supernatural races of Cincinnati. Every action has its price. When the vampire master Piscary is set free and the demonic Algaliarept dares to walk openly under the sun, even Rachel Morgan can't hide forever.",For a Few Demons More ,4.33,Hardcover,48631,30259
English,640 pages,Larry Niven,#20813-3,"The gigantic comet had slammed into Earth, forging earthquakes a thousand times too powerful to measure on the Richter scale, tidal waves thousands of feet high. Cities were turned into oceans; oceans turned into steam. It was the beginning of a new Ice Age and the end of civilization. But for the terrified men and women chance had saved, it was also the dawn of a new struggle for survival--a struggle more dangerous and challenging than any they had ever known.",Lucifer's Hammer,3.98,Mass Market Paperback,35163,218467
English,622 pages,Isabel Wilkerson,1st,"From 1915 to 1970, this exodus of almost six million people changed the face of America. Wilk",The Warmth of Other Suns: The Epic Story of America's Great Migration ,4.32,Hardcover,35065,8171378
English,160 pages,Jean Rhys,Essential Penguin Edition,"Jean Rhys, originally Ella Gwendolen Rees Williams, was a Caribbean novelist who wrote in the mid 20th century. Her first four novels were published during the 1920s and 1930s, but it was not until the publication of Wide Sargasso Sea in 1966 that she emerged as a significant literary figure. A ""prequel"" to Charlotte Brontë's Jane Eyre, Wide Sargasso Sea won a prestigious WH Smith Literary Award i",Wide Sargasso Sea,3.57,Paperback,45771,44597
English,243 pages,L.M. Montgomery,Special Collector's Edition,"A new life means fresh problems to solve, fresh surprises. Anne and Gilbert",Rainbow Valley,4.12,Mass Market Paperback,62035,77394
English,221 pages,Vera Brosgol,First Edition,"Falling down a well is bad enough, but Anya's normal life might actually be worse. She's embarrassed by her family, self-consc",Anya's Ghost,3.88,Hardcover,42878,9615347
English,373 pages,Amanda Lindhout,Canadian,"As a child, Amanda Lindhout escaped a violent household by paging through issues of ",A House in the Sky,4.2,Hardcover,33584,18039963
English,453 pages,Kim Harrison,1st Edition,"Kim Harrison, author of the New York Times #1 best selling Hollows series, was born in Detroit and lived most her her life within an easy drive. She's currently working on a variety of projects to see what finds a home first, and when not at her desk, is most likely to be found landscaping her new/old Victorian home, or in the garden.","The Good, the Bad, and the Undead",4.26,Mass Market Paperback,53268,30262
"
                  ",345 pages,Mia Sheridan,"Sign of Love, Sagittarius","When Bree Prescott arrives in the sleepy, lakeside town of Pelion, Maine, she hopes against hope that this is the place where she will finally find the peace she so desperately seeks. On her first day there, her life collides with Archer Hale, an isolated man who holds a secret agony of his own. A man no one else sees.",Archer's Voice,4.45,Kindle Edition,60667,20639274
English,361 pages,Jon Meacham,First edition,"Andrew Jackson, his intimate circle of friends, and his tumultuous times are at the heart of this remarkable book about the man who rose from nothing to create the modern presidency. Beloved and hated, venerated and reviled, Andrew Jackson was an orphan who fought his way to the pinnacle of power, bending the nation to his will in the cause of democracy. Jackson's election in 1828 ushered in a new and lasting era in which the people, not distant elites, were the guiding force in American politics. Democracy made its stand in the Jackson years, and he gave voice to the hopes and the fears of a restless, changing nation facing challenging times at home and threats abroad. To tell the saga of Jackson's presidency, acclaimed author Jon Meacham goes inside the Jackson White House. Drawing on newly discovered family letters and papers, he details the human drama-the family, the women, and the inner circle of advisers-that shaped Jackson's private world through years of storm and victory.",American Lion: Andrew Jackson in the White House,3.77,Hardcover,33656,3147367
English,144 pages,Brian K. Vaughan,Trade,-winning duo of Brian K. Vaughan (,"Saga, Volume Three",4.56,Paperback,49991,19358975
English,192 pages,Alan Moore,1st edition, and ,"The League of Extraordinary Gentlemen, Vol. I",3.93,Paperback,42036,297627
English,292 pages,Aimee Bender,First edition,"On the eve of her ninth birthday, unassuming Rose Edelstein, a girl at the periphery of schoolyard games and her distracted parents’ attention, bites into her mother’s homemade lemon-chocolate cake and discovers she has a magical gift: she can taste her m",The Particular Sadness of Lemon Cake,3.19,Hardcover,48663,7048800
English,520 pages,Paramahansa Yogananda,"60th Anniversary, The Complete Edition","This acclaimed autobiography presents a fascinating portrait of one of the great spiritual figures of our time. With engaging candor, eloquence, and wit, Paramahansa Yogananda narrates the inspiring chronicle of his life: the experiences of his remarkable childhood, encounters with many saints and sages during his youthful search throughout India for an illumined teacher, ten years of training in the hermitage of a revered yoga master, and the thirty years that he lived and taught in America. Also recorded here are his meetings with Mahatma Gandhi, Rabindranath Tagore, Luther Burbank, the Catholic stigmatist Therese Neumann, and other celebrated spiritual personalities of East and West. ",Autobiography of a Yogi,4.22,Paperback,32014,639864
English,152 pages,John Hersey,Reprint,).,Hiroshima,3.94,Mass Market Paperback,43895,27323
English,302 pages,Alyson Noel,1st Edition,Hidden in one of Ever’s past lives is a terrible secret about Damen—a secret,Night Star,3.82,Hardcover,46029,7739934
English,311 pages,L.J. Smith,Reissue,"Searching for the ultimate thrill, she vowed to have Stefan.",The Awakening,3.41,Paperback,53035,395922
English,273 pages,Sarah Addison Allen,US, bestselling author of ,The Peach Keeper ,3.84,Hardcover,49798,8546358
"
                  ",128 pages,Christopher Yost,Graphic Novel,"There's a war coming. The same aliens who almost destroyed Earth once are coming back to get the whole job done this time. But we aren't going to just sit and die. The international military is taking our best and brightest to mold them into the finest military minds ever - and they're taking them young. 8-year-old Ender Wiggin is the best they've ever found. Can he save the Earth? Can he survive Battle School and the game that they will force him to play? The legendary sci-fi epic by New York Times Bestseller Orson Scott Card comes to comics, courtesy of hot writer Christopher Yost (X-Force) and superstar Pasqual Ferry! Collects Ender's Game: First Series #1-5.","
                  0785135804
                      ",4.37,Hardcover,32443,6393082
English,592 pages,Stephen E. Ambrose,Later Printing,"'This was much more than a bunch of guys out on an exploring and collecting expedition. This was a military expedition into hostile territory'. In 1803 President Thomas Jefferson selected his personal secretary, Captain Meriwether Lewis, to lead a pioneering voyage across the Great Plains and into the Rockies. It was completely uncharted territory; a wild, vast land ruled by the Indians. Charismatic and brave, Lewis was the perfect choice and he experienced the savage North American continent before any other white man. UNDAUNTED COURAGE is the tale of a hero, but it is also a tragedy. Lewis may have received a hero's welcome on his return to Washington in 1806, but his discoveries did not match the president's fantasies of sweeping, fertile plains ripe for the taking. Feeling the expedition had been a failure, Lewis took to drink and piled up debts. Full of colourful characters - Jefferson, the president obsessed with conquering the west; William Clark, the rugged frontiersman; Sacagawea, the Indian girl who accompanied the expedition; Drouillard, the French-Indian hunter - this is one of the great adventure stories of all time and it shot to the top of the US bestseller charts. Drama, suspense, danger and diplomacy combine with romance and personal tragedy making UNDAUNTED COURAGE an outstanding work of scholarship and a thrilling adventure.",Undaunted Courage,4.22,Paperback,37297,45546
English,419 pages,Richard Wright,The Restored Text Established by The Library of America," remains a seminal text in our history about what it means to be a man, black, and Southern in America.",Black Boy: A Record of Youth and Childhood,4.02,Paperback,40131,228630
English,160 pages,Shirley Jackson,Penguin Classics Deluxe,"Merricat Blackwood lives on the family estate with her sister Constance and her Uncle Julian. Not long ago there were seven Blackwoods—until a fatal dose of arsenic found its way into the sugar bowl one terrible night. Acquitted of the murders, Constance has returned home, where Merricat protects her from the curiosity and hostility of the villagers. Their days pass in happy isolation until cousin Charles appears. Only Merricat can see the danger, and she must act swiftly to keep Constance from his grasp.",We Have Always Lived in the Castle,4.05,Paperback,52664,89724
English,298 pages,Ben Aaronovitch,Del Rey,"Probationary Constable Peter Grant dreams of being a detective in London’s Metropolitan Police. Too bad his superior plans to assign him to the Case Progression Unit, where the biggest threat he’ll face is a paper cut. But Peter’s prospects change in the aftermath of a puzzling murder, when he gains exclusive information from an eyewitness who happens to be a ghost. Peter’s ability to speak with the lingering dead brings him to the attention of Detective Chief Inspector Thomas Nightingale, who investigates crimes involving magic and other manifestations of the uncanny. Now, as a wave of brutal and bizarre murders engulfs the city, Peter is plunged into a world where gods and goddesses mingle with mortals and a long-dead evil is making a comeback on a rising tide of magic.",Rivers of London,3.92,Paperback,49559,8680417
English,445 pages,Thomas Hardy,Penguin Classics,’,The Mayor of Casterbridge,3.8,Paperback,44561,56759
English,329 pages,Claudia Gray,First Edition,But Bianca fell in love with Lucas—a vampire hunter sworn to destroy her kind. They were torn apart when his true identity was reve,Stargazer,3.8,Hardcover,51377,3054684
"
                  ",192 pages,أحمد خالد توفيق,الطبعة الأولى,لقد عزَلَ الأغنياء أنفسهم في (يوتوبيا) الساحل الشمالي تحت حراسة المارينز الأمريكيين، يتعاطون المخدرات ويمارسون المتع المحرمة إلى أقصاها، بينما ينسحق الفقراء خارجها ينهش بعضهم لحم بعض من أجل العيش، دونما كهرباء أو صرف صحي أو رعاية طبية من أي نوع. ولكن حين يتسلل الراوي وصديقته (جرمينال) خارج (يوتوبيا) بدافع الملل وبحثا عن (صيد بشري) ,يوتوبيا,3.9,Paperback,32790,3503947
English,152 pages,Louis Sachar,LCC 9794944,"Louis Sachar (pronounced Sacker), born March 20, 1954, is an American author of children's books.",Wayside School is Falling Down,4.17,Paperback,47362,10065
English,46 pages,Nick Bantock,10th anniversary limited ed,"It all started with a mysterious and seemingly innocent postcard, but from that point nothing was to remain the same in the life of Griffin Moss, a quiet, solitary artist living in London. His logical, methodical world was suddenly turned upside down by a strangely exotic woman living on a tropical island thousands of miles away. Who is Sabine? How can she ""see"" what Griffin is painting when they have never met? Is she a long-lost twin? A clairvoyant? Or a malevolent angel? Are we witnessing the flowering of a magical relationship or a descent into madness?",Griffin & Sabine: An Extraordinary Correspondence,4.01,Hardcover,38757,381102
English,4 pages,Anne Rice,Abridged,"Anne Rice (born Howard Allen Frances O'Brien) is a best-selling American author of gothic, supernatural, historical, erotica, and later religious themed books. Best known for ",Taltos,3.78,Audio Cassette,44598,119091
English,394 pages,Margaret Atwood,Deckle Edge,"A man-made plague has swept the earth, but a small group survives, along with the green-eyed Crakers – a gentle species bio-engineered to replace humans. Toby, onetime member of the Gods Gardeners and expert in mushrooms and bees, is still in love with street-smart Zeb, who has an interesting past. The Crakers’ reluctant prophet, Snowman-the-Jimmy, is hallucinating; Amanda is in shock from a Painballer attack; and Ivory Bill yearns for the provocative Swift Fox, who is flirting with Zeb. Meanwhile, giant Pigoons and malevolent Painballers threaten to attack. ",MaddAddam,3.98,Hardcover,42588,17262203
English,5216 pages,George R.R. Martin,Re-Packaged Edition,"For the first time, all five novels in the epic fantasy series that inspired HBO's ""Game of Thrones ""are together in one boxed set. An immersive entertainment experience unlike any other, A Song of Ice and Fire has earned George R. R. Martin--dubbed ""the American Tolkien"" by ""Time"" magazine--international acclaim and millions of loyal readers. Now here is the entire monumental cycle: ",A Song of Ice and Fire,4.63,Mass Market Paperback,37463,12177850
English,320 pages,Alyson Noel,1st Edition,"Ever is trying to help Haven make the transition into life as an immortal. But with Haven drunk on her new powers and acting recklessly, she poses the ultimate threat — exposing their secret world to the outside. But Ever's struggle to keep the Immortals hidden only propels Haven closer to the enemy: Roman and his evil companions.",Dark Flame,3.73,Hardcover,53926,7198988
English,336 pages,Peter Heller,First Edition,"But when a random transmission beams through the radio of his 1956 Cessna, the voice ignites a hope deep inside him that a better",The Dog Stars,3.9,Hardcover,41125,13330761
English,248 pages,Neil Gaiman,Quill Award Edition,", award-winning writer Neil Gaiman presents a unique vision of the Marvel Universe set four hundred years in the past. Classic Marvel icons such as the X-Men, Spider-Man, the Fantastic Four and Daredevil appear in this intriguing world of 17th-century science and sorcery, instantly familiar to readers, yet subtly different in this new time. ",Marvel 1602,3.93,Paperback,46661,15719
English,208 pages,Frank Miller,Third Edition,"The first volume of the crime-comic megahit that introduced the now-infamous character Marv and spawned a blockbuster film returns in a newly redesigned edition, with a brand-new cover by Frank Miller - some of his first comics art in years! It's a lousy room in a lousy part of a lousy town. But Marv doesn't care. There's an angel in the room. She says her name is Goldie. A few hours later, Goldie's dead without a mark on her perfect body, and the cops are coming before anyone but Marv could know she's been killed. Somebody paid good money for this frame . . . With a new look generating more excitement than ever before, this third edition is the perfect way to attract a whole new generation of readers to Frank Miller's masterpiece!",Sin City Volume 1: The Hard Goodbye,4.16,Paperback,42960,392297
English,306 pages,Carrie Jones,1st Edition,"Zara White suspects there's a freaky guy semi-stalking her. She's also obsessed with phobias. And it's true, she hasn't exactly been herself since her stepfather died. But exiling her to shivery Maine to live with her grandmother? That seems a bit extreme. The move is supposed to help her stay sane...but Zara's pretty sure her mom just can't deal with her right now.",Need,3.71,Hardcover,56597,4070493
English,156 pages,Peter Lerangis,First Edition,"Spies report that Amy and Dan seem to be tracking the life of one of the most powerful fighters the world has ever known. If this fearsome warrior was a Cahill, his secrets are sure to be well-guarded..",The Sword Thief,3.87,Hardcover,42880,5861926
English,200 pages,Kazue Kato,SHONEN JUMP ADVANCED Manga Edition,"Raised by Father Fujimoto, a famous exorcist, Rin Okumura never knew his real father. One day a fateful argument with Father Fujimoto forces Rin to face a terrible truth – the blood of the demon lord Satan runs in Rin's veins! Rin swears to defeat Satan, but doing that means entering the mysterious True Cross Academy and becoming an exorcist himself. Can Rin fight demons and keep his infernal bloodline a secret? It won't be easy, especially when drawing his father's sword releases the demonic power within him!",青の祓魔師 1,4.36,Paperback,40434,9876989
English,509 pages,Dee Brown,Thirtieth Anniversary Edition,"Dorris Alexander “Dee” Brown (1908–2002) was a celebrated author of both fiction and nonfiction, whose classic study Bury My Heart at Wounded Knee is widely credited with exposing the systematic destruction of American Indian tribes to a world audience. Brown was born in Louisiana and grew up in Arkansas. He worked as a reporter and a printer before enrolling at Arkansas State Teachers College, where he met his future wife, Sally Stroud. He later earned two degrees in library science, and worked as a librarian while beginning his career as a writer. He went on to research and write more than thirty books, often centered on frontier history or overlooked moments of the Civil War. Brown continued writing until his death in 2002. ",Bury My Heart at Wounded Knee: An Indian History of the American West,4.21,Paperback,43767,76401
English,187 pages,Marjane Satrapi,First American Paperback Edition,"In Persepolis, heralded by the Los Angeles Times as â€œone of the freshest and most original memoirs of our day,â€ Marjane Satrapi dazzled us with her heartrending memoir-in-comic-strips about growing up in Iran during the Islamic Revolution. Here is the continuation of her fascinating story. In 1984, Marjane flees fundamentalism and the war with Iraq to begin a new life in Vienna. Once there, she faces the trials of adolescence far from her friends and family, and while she soon carves out a place for herself among a group of fellow outsiders, she continues to struggle for a sense of belonging.",Persepolis 2 ,4.23,Paperback,47441,9517
English,385 pages,Michael Scott,First Edition,", Machiavelli and Billy the Kid will follow the plans the Elders have laid before them: they will loose the monsters of Alcatraz on the city of San Francisco, thereby triggering the end of the human race.",The Warlock,4.17,Hardcover,43994,8458018
English,561 pages,Salman Rushdie,USA," is Salman Rushdie’s best-known and most galvanizing book. Set in a modern world filled with both mayhem and miracles, the story begins with a bang: the terrorist bombing of a London-bound jet in midflight. Two Indian actors of opposing sensibilities fall to earth, transformed into living sy",The Satanic Verses,3.71,Paperback,43243,12781
English,88 pages,Frank Miller,1st edition,"Frank Miller is an American writer, artist and film director best known for his film noir-style comic book stories. He is one of the most widely-recognized and popular creators in comics, and is one of the most influential comics creators of his generation. His most notable works include Sin City, The Dark Knight Returns, Batman Year One and 300.",300,3.93,Hardcover,38960,59952
English,56 pages,Edgar Allan Poe,Penguin 60s Classics,"The blackness of eternal night encompassed me. The intense darkness oppressed and stifled me so that I struggled for breath.Having been condemned to death by the Spanish Inquisition, the narrator descends into a kind of hell. Dizzy with weakness and fainting with fear, he experiences such torments that death itself would be welcome. What troubles him most is the eternal question: how will he die?Toledo Prison is notorious for the torture of the condemned. What minds have dreamed up the terror of the pit in the center of the cell? What is the significance of the painted figure of Time with his menacing pendulum? Why do the walls glow with heat?Experience with the narrator the intensity of his suffering when death seems inevitable but its form uncertain. Can anything, or anybody, help him?",The Pit and the Pendulum,4.15,Paperback,48015,206172
English,376 pages,E.M. Forster,Penguin Classics,"When Adela Quested and her elderly companion Mrs Moore arrive in the Indian town of Chandrapore, they quickly feel trapped by its insular and prejudiced 'Anglo-Indian' community. Determined to escape the parochial English enclave and explore the 'real India', they seek the guidance of the charming and mercurial Dr Aziz, a cultivated Indian Muslim. But a mysterious incident occurs while they are exploring the Marabar caves with Aziz, and the well-respected doctor soon finds himself at the centre of a scandal that rouses violent passions among both the British and their Indian subjects. A masterly portrait of a society in the grip of imperialism, ",A Passage to India,3.67,Paperback,53405,45195
English,520 pages,L.J. Smith,First Edition,"Elena: transformed, the golden girl has become what she once feared and desired.",The Fury and Dark Reunion,3.74,Paperback,54472,1895792
English,64 pages,Bo Hampton,Graphic Novel,"This is Bo Hampton's 1993 Legend of Sleepy Hollow, a faithful adaptation of Washington Irving's tale surrounding the ghostly inhabitants of Tarrytown, New York around the time of the American Revolution. The cast of characters is headed up by the Headless Horseman himself. This edition boasts new covers and 16 pages of new material, including numerous preliminary sketches of scenes and characters.",The Legend of Sleepy Hollow,3.96,Paperback,43306,93263
English,757 pages,Nora Roberts,Large Print,"Twelve years later, the woman known as Abigail Lowery lives on the outskirts of a small town in the Ozarks. A freelance programmer,",The Witness,4.19,Paperback,50059,12716613
English,20 pages,Edgar Allan Poe,"BookSurge Classics, title no. 186",The story is set in a nameless Italian city in an unspecified year (possibly sometime during the eighteenth century) and concerns the deadly revenge taken by the narrator on a friend wh,The Cask of Amontillado,4.09,Paperback,50537,261240
English,200 pages,Roger Fisher,Second Edition,"Roger Fisher is the Samuel Williston Professor of Law Emeritus, Director of the Harvard Negotiation Project, and the founder of two consulting organizations devoted to strategic advice and negotiation training. ",Getting to Yes: Negotiating agreement without giving in,3.89,Paperback,40488,313605
English,208 pages,William S. Burroughs,50th Anniversary Definitive Edition,", an unknown William S. Burroughs wrote ",Junky,3.85,Paperback,43854,23940
Arabic,400 pages,سعود السنعوسي,29, لو كنت مثل نبتة البامبو.. لا انتماء لها.. نقتطع جزءاً من ساقها.. نغرسه، بلا جذور، في أي أرض.. لا يلبث الساق طويلاً حتى تنبت له جذور جديدة.. تنمو من جديد.. في أرض جديدة.. بلا ماض.. بلا ذاكرة.. لا يل,ساق البامبو [Saq al-Bambu],4.25,Paperback,40176,13637412
English,327 pages,Johann Wolfgang von Goethe,German-English Edition,"Goethe’s masterpiece and perhaps the greatest work in German literature, Faust has made the legendary German alchemist one of the central myths of the Western world. Here indeed is a monumental Faust, an audacious man boldly wagering with the devil, Mephistopheles, that no magic, sensuality, experience, or knowledge can lead him to a moment he would wish to last forever. Here, in Faust, Part I, the tremendous versatility of Goethe’s genius creates some of the most beautiful passages in literature. Here too we experience Goethe’s characteristic humor, the excitement and eroticism of the witches’ Walpurgis Night, and the moving emotion of Gretchen’s tragic fate.",Faust. Eine Tragödie,3.93,Paperback,49198,14706
English,485 pages,Alexandra Adornetto,First Edition,"Three angels – Gabriel, the warrior; Ivy, the healer; and Bethany, the youngest and most human – are sent by Heaven to bring good to a world falling under the influence of darkness. They work hard to conceal their luminous glow, superhuman powers, and, most dangerous of all, their wings, all the while avoiding all human attachments.",Halo,3.67,Hardcover,59066,7778981
English,681 pages,Raymond E. Feist,Revised edition,"At Crydee, a frontier outpost in the tranquil Kingdom of the Isles, an orphan boy, Pug, is apprenticed to a master magician – and the destinies of two worlds are changed forever.",Magician,4.32,Paperback,48226,43916
English,541 pages,Charles C. Mann,2nd Edition, ,1491: New Revelations of the Americas Before Columbus,4.01,Paperback,44101,39020
English,144 pages,Brian K. Vaughan,Trade,", ","Saga, Volume Two",4.57,Paperback,59125,17131869
English,592 pages,J.R. Ward,First Edition,", Tohrment has been unrecognizable from the vampire leader he once was. Physically emaciated and heartbroken beyond despair, he has been brought back to the Brotherhood by a self-serving fallen angel. Now, fighting once again with ruthless vengeance, he is unprepared to face a new kind of tragedy. ",Lover Reborn,4.35,Hardcover,64514,10993282
English,418 pages,John Grisham,First Edition,"For every innocent man sent to prison, there is a guilty one left on the outside. He doesn't understand how the police and prosecutors got the wrong man, and he certainly doesn't care. He just can't believe his good luck. Time passes and he realizes that the mistake will not be corrected: the authorities believe in their case and are determined to get a conviction. He may even watch the trial of the person wrongly accused of his crime. He is relieved when the verdict is guilty. He laughs when the police and prosecutors congratulate themselves. He is content to allow an innocent person to go to prison, to serve hard time, even to be executed.",The Confession,3.81,Hardcover,50305,7933437
English,450 pages,James Patterson,Abridged,"James Patterson has created more enduring fictional characters than any other novelist writing today with his Alex Cross, Michael Bennett, Women’s Murder Club, Private, NYPD Red, Daniel X, Maximum Ride, and Middle School series. As of January 2016, he has sold over 350",Cat & Mouse,3.96,Audio CD,50579,21436
