author,bookformat,Language,numberofpages,GoodReadAverageRating,bookEdition,id,NumberofRatings,title,description
Paul J. Zelanski,Paperback,English,176 pages,4.12,Third Edition,2492765,43,Color, Covers Color Basics; Perceiving Colors; Psychological Effects of Color; Compositional Effects of Color; Theories o
Scotti Cohn,Paperback,"
                  ",176 pages,3.4,Second Edition,6888141,5,"
                  0762754222
                      ",describes everything from one of the first incidences of American resistance against British rule to a courageous milestone in the civil rights movement.
Jane Austen,Paperback,English,409 pages,4.06,Penguin Classics,920037,781882,Sense and Sensibility,"Marianne Dashwood wears her heart on her sleeve, and when she falls in love with the dashing but unsuitable John Willoughby she ignores her sister Elinor's warning that her impulsive behaviour leaves her open to gossip and innuendo. Meanwhile Elinor, always sensitive to social convention, is struggling to conceal her own romantic disappointment, even from those closest to her. Through their parallel experience of love—and its threatened loss—the sisters learn that sense must mix with sensibility if they are to find personal happiness in a society where status and money govern the rules of love."
Harper Lee,Hardcover,English,323 pages,4.26,slipcased edition,2661,3363538,To Kill a Mockingbird,"Lawyer Atticus Finch defends the real mockingbird of Harper Lee's classic, Puliter Prize-winning novel - a black man charged with the rape of a white woman. Through the eyes of Atticus's children, Scout and Jem Finch, Harper Lee explores with rich humor and unanswering honesty the irrationality of adult attitudes toward race and class in the Deep South of the 1930's. "
Ed Brubaker,Paperback,", ",320 pages,4.06,Supereroi - Le Grandi Saghe #25,23593652,6519,X-Men: Messiah CompleX,"Ed Brubaker (born November 17, 1966) is an Eisner Award-winning American cartoonist and writer. He was born at the National Naval Medical Center, Bethesda, Maryland."
Terry Deary,Paperback,English,73 pages,2.71,Dyslexia Friendly,120812,7,Pitt Street Pirates,A dyslexia friendly read from specialist publisher Barrington Stoke.
Alain Rouquié,Mass Market Paperback,French,459 pages,4.0,"Poder militar y sociedad politica en la Argentina, #2",3521296,1,"Poder militar y sociedad política en la Argentina. 2, 1943 - 1973.","Esta segunda parte de Poder militar y sociedad politica en la Argentina, de Alain Rouquie, sin duda uno de los mas importantes trabajos sobre el tema, abarca desde el 4 de junio de 1943, fecha en que fue depuesto el presidente Castillo, hasta el regreso personal de Peron al poder, el 12 de octubre de 1973. Son treinta anos de la vida politica argentina, estudiados minuciosamente, un verdadero documento que explica lo ocurrido en el pais. El autor funda sus opiniones, a veces discutibles, pero siempre claramente expresados, principalmente en las informaciones recogidas en los periodicos de la epoca y en las declaraciones de los protagonistas en las entrevistas que cita. Concluye el volumen con un ensayo de interpretacion de los hechos - Anatomia del poder militar - que, en cualquier caso, comporta un testimonio invalorable. este volumen contiene la bibliografia, y las fuentes de la totalidad de la obra.Poder militar y sociedad politica en la Argentina II es un libro de consulta irremplazable. Sera leida con avidez por todos cuantos quieran tener informacion sobre nuestra historia reciente."
Ferréz,Paperback,Portuguese,56 pages,3.0,1,22007627,1,Os inimigos não mandam flores - uma história da periferia em quadrinhos,"Ferréz (Reginaldo Ferreira da Silva) is a Brazilian author, rapper, cultural critic and activist from the Zona Sul (southern zone) favela of Capão Redondo in São Paulo, Brazil. He is a member and leader of the literary group Literatura Marginal (Marginal Literature) that emerged during the late 1990s and early 2000s (decade) from the urban periphery of São Paulo. His writings are notable for descr"
Patricia Ann Potter,Hardcover,English,1776 pages,3.67,Sixth Edition,169058,257,Fundamentals of Nursing,"Comprehensive, logically-organized, and easy to read, this market-leading fundamentals text provides students with a solid base for their nursing education. Encompassing principles, concepts, and skills, it offers thorough coverage, a nursing process framework, an emphasis on critical thinking, and a focus on care in all settings. This new edition addresses a number of key issues, including evidence-based practice, safety concerns, and end-of-life care. To better meet the needs of beginning students, care plans have been expanded to more clearly explain assessment findings leading to nursing diagnoses, as well as evaluation of outcomes."
Cassandra    King,Audio CD,English,0 pages,3.46,Abridged,1939840,582,Making Waves,"CASSANDRA KING, who has been called “the Queen of Southern storytelling,” is the author of six novels, Making Waves, The Sunday Wife, The Same Sweet Girls, Queen of Broken Hearts, Moonrise, and The Same Sweet Girls' Guide to Life, as well as numerous short stories, essays and articles. Moonrise, her fifth novel, is set in Highlands, North Carolina. A native of Alabama, Cassandra resides in Beaufor"
Edith Wharton,Paperback,Italian,270 pages,3.83,Varianti,24662849,2372,The Glimpses of the Moon,"Sposi per un anno. Questo è il patto che Nick e Susy Lansing hanno stipulato: rimanere uniti nella buona sorte fino a quando il denaro dei regali di nozze e l'ospitalità degli amici consentirà loro di continuare la luna di miele. Poi, se una migliore occasione si presenterà a uno di loro, l'altro acconsentirà a lasciarlo libero. Lo scenario dei primi mesi di questa anomala unione è idilliaco: una romantica villa sulle sponde del lago di Como, un palazzo patrizio a Venezia, passeggiate nelle calli ombrose, chiari di luna, amici spensierati sempre pronti ad assecondare i due novelli sposi. Eppure, fin dall'inizio, la macchina perfetta del matrimonio concordato si inceppa, incalzata da un elemento imprevisto: l'amore. Capriccioso, incoerente, poco incline a compromessi e a sfumature, l'amore si insinua nella mente ordinata e onesta di Nick, che ha idealizzato la moglie al punto di non poterle perdonare nessuno sbaglio, nessuna leggerezza, e in quella di Susy, incapace di rinunciare ai suoi sogni di grandezza se non per il marito, ma così spaventata da questa scoperta da non riuscire a dirglielo, anche quando sarebbe l'unico modo per trattenerlo. E allora, di nuovo soli, ""liberi"", come amavano dire prima di sposarsi, Nick e Susy cercano ognuno la propria occasione lontano dall'altro, lui sul panfilo di ricchi amici, lei nientemeno che con un lord. Ma l'amore che paradossalmente li ha separati, si è talmente insinuato nel loro cuore da ricongiungerli."
Aubrey Hansen,Kindle Edition,"
                ",151 pages,3.97,Second Edition,15758551,138,B005K21VU6,"Government regulations said they had no choice. 17-year-old Philadelphia must stay on Earth in the care of complete strangers while her father is sent against his will to Mars. When a benevolent official allows her to accompany her father, Philadelphia knows she must keep her head down or be sent back to Earth. But when a search for her deceased brother’s Bible leads her into a hallway that isn’t supposed to exist, Philadelphia is faced with a question she doesn’t want to answer – the choice between returning to Earth or destroying it."
Jane Austen,Paperback,English,392 pages,4.24,Movie Tie-In Edition,1889,2212933,Pride and Prejudice,"When Elizabeth Bennet first meets eligible bachelor Fitzwilliam Darcy, she thinks him arrogant and conceited; he is indifferent to her good looks and lively mind. When she later discovers that Darcy has involved himself in the troubled relationship between his friend Bingley and her beloved sister Jane, she is determined to dislike him more than ever. In the sparkling comedy of manners that follows, Jane Austen shows the folly of judging by first impressions and superbly evokes the friendships, gossip and snobberies of provincial middle-class life."
Audrey Smedley,Paperback,English,400 pages,4.16,Second Edition,2147176,87,Race in North America: Origin And Evolution of a Worldview,"Few topics in the Western intellectual tradition have been subjected to as much scrutiny and analysis as the topic of race. This book examines the evolution of the concept. It shows that late-eighteenth-century North Americans came to believe that their society was composed of biologically exclusive and permanently unequal human groups, each with distinctive behavioral, moral, spiritual, and intellectual characteristics, led people to see biophysical and behavioral features as innate and immutable. In the nineteenth century, differences between whites, American Indians, and blacks were magnified in the popular mind and in scholarly writings to the point that these groups were seen as separate species, justifying the preservation of “racial” slavery and the subsequent dehumanization of freed blacks. With the application in the late nineteenth century of the racial worldview to European peoples and the subsequent twentieth-century inhumanity and brutality of Nazi race ideology, the concept of race came under attack. Liberal ideology coupled with advances in science prompted criticism of “race” and efforts to eliminate the term from the lexicon of science.In a sweeping work that traces the idea of race through three centuries of North American history, Audrey Smedley shows race to be a cultural construct used variously and opportunistically throughout time, although the scientific record shows little common agreement on its meaning. Tracing the social and historical processes that helped shape the idea of race, Smedley argues that race was and is a folk worldview, fabricated as an existential reality out of elements of English cultural history and the conquest and enslavement of physically distinct populations. The schism between science and popular thought on race, which appeared in the mid-twentieth century, continues today. If progressive scientists no longer accept the biological idea of race, will society eventually also reject it?The second edition expands its coverage of the nineteenth and twentieth centuries, particularly in matters of IQ testing and changing racial attitudes, including the contemporary movement aimed at identifying a “mixed race” category in the U.S. census. Smedley further examines the economic, social, and political factors after World War II that directly or indirectly affected the public’s thinking about race and discusses how the Civil Rights Movement and television during the 1950s and 1960s prompted greater attention to race and racism, causing many to rethink their beliefs and values. The first edition was named a 1994 Outstanding Book on Human Rights in North America by the Gustavus Myers Center."
Felipe Pigna,Paperback,Spanish,50 pages,0.0,La Historieta Argentina,2969715,0,"La Historieta Argentina: Bouchard, El Corsario De La Patria",Hipólito Bouchard nació el 15 de enero de 1780 en Bormes. cerca de las bellas playas de Saint-Tropez en la Costa Azul de Francia. Su vida aventurera comenzó cuando. siendo un muchachito. decidió incorporarse a la marina y participar en la campaña de Napoleón a Egipto bajo las órdenes de su tocayo el corsario francés Hipólito Mordell. Llegó a Buenos Aires a los 26 años mientras se producía la Segunda Invasión Inglesa. justo a tiempo para colaborar en la Reconquista a las órdenes de Liniers.El muchacho de Saint-Tropez tenía ideas liberales y revolucionarias. lo que por entonces no era contradictorio sino complementario. En 1810 soplaban nuevos vientos de cambio y. al producirse la revolución. se vinculó con el sector más radical de la Junta. liderado por Mariano Moreno. y puso sus conocimientos navales a disposición del gobierno revolucionario. El 1 de febrero de 1811. la Secretaría de Guerra lo designó comandante del bergantín 25 de Mayo dentro de la pequeña flota nacional que comandaba el maltés Juan Bautista Azopardo. La atrevida flotilla insurgente . como la llamará el soberbio jefe español de Montevideo Javier de Elío. tuvo su bautismo de fuego el 2 de marzo de 1811 en el combate de San Nicolás de los Arroyos. Lamentablemente fue una derrota.Pero el 3 de febrero de 1813 otro bautismo de fuego. el del Regimiento de Granaderos a Caballo (al mando de San Martín) en San Lorenzo. encontró nuevamente a Bouchard dispuesto a todo. Durante la batalla quiso quedarse con un souvenir de su primer combate terrestre en suelo americano; como el abanderado español se negaba a entregar el rojo pabellón . lo liquidó ahí nomás. Dice el jefe de los Granaderos en el parte de guerra: Una bandera que pongo en manos de V.E. y que arrancó con la vida del abanderado el oficial don Hipólito Bouchard .Pocos días después. el 22 de febrero.
Gianfranco Viesti,Paperback,"
                  ",327 pages,0.0,Saggi #28,18278582,0,"
                  8886175590
                      ","Anche nel Mezzogiorno vi è una rete, certo meno ampia di quella del Centro-nord ma sorprendentemente più fitta di quanto si immagini normalmente, di distretti industriali. Questo libro raccoglie una serie di saggi che ne ricostruiscono le origini e la storia, cercando di spiegare perché alcune specifiche produzioni si sono concentrate in quelle specifiche aree; ne raccontano dettagliatamente l'organizzazione industriale, le imprese e gli imprenditori, i prodotti, i mercati; ne discutono le prospettive."
Bill Bryson,Hardcover,English,624 pages,4.19,Illustrated,3870,208310,A Short History of Nearly Everything,In 
Sigmund Freud,Paperback,English,512 pages,3.84,Penguin Freud Library,1208431,140,Writings on Art and Literature,"Despite Freud's enormous influence on twentieth-century interpretations of the humanities, there has never before been in English a complete collection of his writings on art and literature. These fourteen essays cover the entire range of his work on these subjects in chronological order, beginning with his first published analysis of a work of literature, the 1907 ""Delusions and Dreams in Jensen's Gradiva,"" and concluding with the 1940 posthumous publication of ""Medusa's Head."" Many of the essays included in this collection have been crucial in contemporary literary and art criticism and theory."
Connie Mason,Hardcover,English,464 pages,3.94,Large Print,1269360,529,Pirate ,"Devastated by love's betrayal, nearly destroyed by the assassin who took his eye and left him for dead, Guy De Young was reborn as a man with no name: a pirate. His stare was unforgettable; the brilliant gaze enchanted women and struck fear in the hearts of men. Determined to ruin those who kept him from freedom and his heart's only desire, the reckless marauder could have been the Devil himself but for the single gleaming silver eye that recalled his past life."
Dan Brown,Mass Market Paperback,English,713 pages,3.86,Pocket Books Premium Edition,960,2094460,Angels & Demons ,A devastating new weapon of destruction.
Philip A. Schmidt,Paperback,English,464 pages,4.0,Fourth Edition,6746308,12,Schaum's Outline of College Mathematics (Schaum's Outline Series),"More than 40 million students have trusted Schaum's to help them succeed in the classroom and on exams. Schaum's is the key to faster learning and higher grades in every subject. Each Outline presents all the essential course information in an easy-to-follow, topic-by-topic format."
Tim LaHaye,Audio CD,English,11 pages,3.97,Unabridged,2950861,23066,The Indwelling: The Beast Takes Possession," Since the fall of 1995, the first six books in the planned 12-book series -- "
Larry B. Silver,Paperback,English,450 pages,3.91,Fourth Edition,671758,32,The Misunderstood Child: Understanding and Coping with Your Child's Learning Disabilities,"The fully revised and updated must-have resource to help you become a supportive and assertive advocate for your childIn print for more than twenty years, The Misunderstood Child has become the go-to reference guide for families of children with learning disorders. This newly revised edition provides the latest research and new and updated content, including:? How to identify and address specific disabilities, from dyslexia to sensory integration disorder? New information on the genetics of learning disorders? Expanded sections on attention-deficit/hyperactivity disorder (ADHD)? The most recent neurological discoveries about how the brain functions in children with learning disabilities? Insights about other neurological disorders common among individuals with learning disabilities, such as anxiety disorders, obsessive-compulsive behaviors, anger-control problems, depression, and tic disorders? Resources, Web sites, and organizations that can aid the treatment process and offer support for both parent and child"
Sally Wentworth,Hardcover,English,235 pages,3.42,Large Print,1796157,89,Betrayal in Bali,"Doreen began her publishing career at a Fleet Street newspaper in London, where she thrived in the hectic atmosphere. She started writing after attending an evening class and sold her first novel to Mills & Boon in 1977, she"
Deepak Chopra,Audio CD,English,0 pages,4.06,Abridged,836516,93,Living Beyond Miracles," finds the two at the height of their powers, weaving together a broad range of approaches to self-realization and spiritual fulfillmen"
Dugan Laird,Paperback,English,352 pages,3.73,"Revised, Third Edition",924656,11,Approaches to Training and Development,"Approaches to Training and Development provides a comprehensive and practical introduction to the field of organizational training and human-resource development. It surveys the methods, functions, and goals of training--from needs assessment to implementation--illustrating each step of an effective training program. This new edition includes updates throughout, with fresh examples and current references, with an emphasis on evaluating and explaining new training. Comprehensive, authoritative, and accessible, this new edition will prove an essential resource to a new generation of trainers, HRD professionals, educators, and managers."
Erik Oberg,Hardcover,English,2554 pages,4.39,Large Print,3369780,193,Machinery's Handbook,"The CD-ROM provides: Boolean and proximity searches; complete text search; extensive support for bookmarking, journaling and annotation; interlinks leading to related topics and examples; zoom features for detailed viewing of figures and graphs; cut and paste capabilities for inserting text into other documents and programs; and an expandable table of contents providing instant access to text, tables and illustrations. Besides the complete 25th edition, this CD-ROM also contains important material from earlier editions of Machinery's Handbook. Extensive cross-referencing between the CD-ROM and Handbook make them ideal complements and the COMBO Specials a great value."
Robert R. Sokal,Hardcover,English,859 pages,3.9,Second Edition,4778526,52,Biometry," offers students with little or no background in statistical analysis an introduction to a broad spectrum of statistical concepts and methods. Written by authors well-known for their ability to convey difficult ideas clearly an directly, it succeeds by virtue of it s superior explanations, logical development of ideas, balanced presen"
Eleanor H. Porter,Hardcover,English,310 pages,3.95,Large Print,3709042,61848,Pollyanna,"""There is something about everything that you can be glad about, if you keep hunting long enough to find it."""
David Lodge,Paperback,German,308 pages,3.86,German Edition,2043796,5773,Changing Places,"Intelligent, ironisch, unterhaltsam - eine nostalgisch-"
Charles W. Colson,Audio,English,0 pages,4.18,Abridged,49274,3327,How Now Shall We Live?,"Almost 40 years ago, Charles W. Colson was not thinking about reaching out to prison inmates or reforming the U.S. penal system. In fact, this aide to President Richard Nixon was ""incapable of humanitarian thought,"" according to the media of the mid-1970s. Colson was known as the White House ""hatchet man,"" a man feared by even the most powerful politicos during his four years of service to Nixon."
Deepak Chopra,Audio CD,English,0 pages,4.0,Abridged,526775,5028,The Book of Secrets,--a crystalline distillation of insights and wisdom accumulated over the lifetime of one of the g
Debbie Civil,Paperback,English,357 pages,4.57,1,21857831,7,The Hunter,"Sabena Pierce had to run away from Paul McCann, the boy who had broken her heart. She sped out of the parking lot and away from the life that she once knew. After she is captured by Chelindren renegades, , Sabena discovers that her entire life has been a lie. She isn’t human and her mother committed a sin much worse than adultery. Sabena is a part of a magical race and there is war among the chelindren people. If she chooses to stand by her family, she will lose the one that she desperately loves. But Sabina is intent on not choosing at all. After Sunny MacPherson, a vindictive outlaw, sends vicious witchlings after her, Sabena will realize that her decision isn’t just between loyalty and love."
Katherine Mansfield,Paperback,English,665 pages,4.23,Complete Edition,188088,39,The Katherine Mansfield Notebooks,"Katherine Mansfield (1888-1923) published three collections of short stories -- In a German Pension, Bliss, and The Garden Party -- during her tragically short life, and was acclaimed as one of modernism's most daring and original writers. After her death from tuberculosis in France, Mansfield's private writings and letters were edited by her husband, John Middleton Murry, and published in four volumes between 1927 and 1954. Murry, however, took liberties in recasting his wife's journals and notes. He excluded most of the vast mass of material and revised much of what he included, resulting in a distorted image of Mansfield as a passive, ethereal spirit.More than four decades later, the real Mansfield finally emerges in The Katherine Mansfield Notebooks, the first unexpurgated edition of her private writings. Fully and accurately transcribed by editor Margaret Scott, these infrequent diary entries, drafts of letters, introspective notes jotted on scraps of paper, unfinished stories, half-plotted novels, poems, recipes, and shopping lists offer a complete and compelling portrait of a complex woman who was ambitious and at times ruthless, neurotic and sexually voracious, witty and acerbic, fascinated with the minutiae of daily life and obsessed with death."
Robin McKinley,Paperback,                                  ,292 pages,4.21,Ace,99441,45005,"
                  0441013058
                      ","Born in her mother's hometown of Warren, Ohio, "
Susan Price,Paperback,English,174 pages,3.21,Point Horror Unleashed,801203,19,The Ghost Wife (Point Horror Unleashed S.),You do love me don't you Jonnie? You 
S.J. Henderson,Audible Audio,"
                  ",2 pages,4.53,Unabridged,23590922,73,Daniel the Draw-er,"Everything Daniel draws with his pencil--flying dragons, Octobears, and pizza-loving aliens from the planet Beezo--comes to life. It’s pretty awesome until the pencil draws a line between Daniel and his best (and only) frie"
Susana Fortes,Hardcover,Dutch,255 pages,3.13,De Geus Ontdekkingen,13490451,8,Tiernos y traidores,"Byron, Martin en Inés - alledrie een jaar of zestien - zijn onafscheidelijk. Ze zitten in dezelfde klas en trekken ook buiten school veel met elkaar op. Ze praten over de boeken die ze gelezen hebben en vertrouwen elkaar hun geheimen toe."
Erskine Childers,Mass Market Paperback,English,288 pages,3.63,Essential Penguin,805035,4083,The Riddle of the Sands, in the Baltic. A grouse-shooting party or a weekend at Cowes would have been more Carruther’s style. More disconcerti
John D. MacDonald,Hardcover,English,274 pages,3.6,Large Print,1153252,434,Barrier Island,"John D. MacDonald was born in Sharon, Pa, and educated at the Universities of Pennsylvania, Syracuse and Harvard, where he took an MBA in 1939. During WW2, he rose to the rank of Colonel, and while serving in the Army and in the Far East, sent a short story to his wife for sale, successfully. After the war, he decided to try writing for a year, to see if he could make a living. Over 500 short stor"
Jo Beverley,Mass Market Paperback,English,351 pages,3.75,2nd edition,1144054,2338,An Unwilling Bride,"The Duchess of Belcraven committed a folly, and bore her husband another man's child. Only a third son, however, so all was patched over. Then the two older boys drowned, leaving disaster. Now, over twenty years later, the duke discovers that he has a daughter, a child of his blood, and he compels the two to marry -- the arrogant ducal heir, devastated to learn for the first time that he is illegitimate; and the independent schoolteacher raised in the principles of the Rights of Women. Is there any common ground at all?"
Nawal El-Saadawi,Paperback,English,114 pages,3.96,Second Edition,1008111,6048,Dar el Addab,"So begins Firdaus's story, leading to her grimy Cairo prison cell, where she welcomes her death sentence as a relief from her pain and suffering. Born to a peasant family in the Egyptian countryside, Firdaus suffers a childhood of cruelty and"
Giles Milton,Audio CD,English,3 pages,4.02,Large Print,983949,667,White Gold,"In the summer of 1716, a Cornish cabin boy named Thomas Pellow and 52 of his comrades were captured at sea by the Barbary corsairs. Their captors—fanatical Islamic slave traders—had declared war on the whole of Christendom. Thousands of Europeans had been snatched from their homes and taken in chains to the great slave markets of Algiers, Tunis, and Sale in Morocco to be sold to the highest bidder. Drawn from unpublished letters and manuscripts written by slaves, and by the padres and ambassadors sent to free them, "
Ernest Becker,Audio CD,English,0 pages,4.19,Unabridged - Library Edition,2764,4898,The Denial Of Death,"Winner of the Pulitzer Prize in 1974 and the culmination of a life's work, The Denial of Death is Ernest Becker's brilliant and impassioned answer to the ""why"" of human existence. In bold contrast to the predominant Freudian school of thought, Becker tackles the problem of the vital lie: man's refusal to acknowledge his own mortality. In doing so, he sheds new light on the nature of humanity and issues a call to life and its living that still resonates more than thirty years after its publication. The Denial of Death was the last book Dr. Becker published before his premature death in 1974. His insightful and powerful ideas are sure to last for generations."
Dan Brown,Audio CD,"
                  ",11 pages,4.19,Abridged,4225,18977,"
                  0743536916
                      ","""THE DA VINCI CODE"""
Julia Butterfly Hill,Audio,English,0 pages,4.33,Abridged,99258,3,Heart Of A Heroine: Saving the Last Redwoods,"On this extraordinary audio program, Julia Butterfly Hill, the remarkable woman who inspired the world by living in a giant redwood tree named Luna to protest the practices of the logging industry, shares her story of commitment, perseverance, and courage with New Dimensions Radio host Michael Toms. The two engage in a compelling dialogue, with Hill recounting how she steadfastly remained in her leafy perch for two years, surviving wild weather and harassment from her opponents, while drawing international attention to the plight of redwoods. Hill's remarkable tree-sit ended in December of 1999, when she negotiated a deal with Pacific Lumber to save Luna from destruction."
David  North,Audio,English,0 pages,3.45,Abridged,2468586,11,Freedom Strike (Mack Bolan The Executioner #207) ,"It's a double-barreled mission for Mack Bolan: stop the terrorist attacks against the new president and deal a crippling blow to these subversive factions, including th"
