Language,id,title,GoodReadAverageRating,description,author,NumberofRatings
English,208324,Means of Ascent ,4.24,"Robert A. Caro's life of Lyndon Johnson, which began with the greatly acclaimed The Path to Power, also winner of the National Book Critics Circle Award, continues -- one of the richest, most intensive and most revealing examinations ever undertaken of an American President. In Means of Ascent the Pulitzer Prize-winning biographer/historian, chronicler also of Robert Moses in The Power Broker, carries Johnson through his service in World War II and the foundation of his long-concealed fortune and the facts behind the myths he created about it. But the explosive heart of the book is Caro's revelation of the true story of the fiercely contested 1948 senatorial election, for forty years shrouded in rumor, which Johnson had to win or face certain political death, and which he did win -- by ""the 87 votes that changed history."" Caro makes us witness to a momentous turning point in American politics: the tragic last stand of the old politics versus the new -- the politics of issue versus the politics of image, mass manipulation, money and electronic dazzle.",Robert A. Caro,13400
English,294081,The Mambo Kings Play Songs of Love,3.68,"Oscar Hijuelos (born August 24, 1951) is an American novelist. He is the first Hispanic to win a Pulitzer Prize for Fiction.",Oscar Hijuelos,9853
English,4769651,"The Everafter War (The Sisters Grimm, #7)",4.32,"Picking up after the dramatic cliffhanger that ended Book Six, Sabrina and Daphne’s prayers are finally answered when their parents awake from their sleeping spell. But their happy reunion is short-lived, as they are caught in the middle of a war between the Scarlet Hand and Prince Charming’s Everafter army. As the family works to help the prince’s ragtag group of rebels and protect their friends, Sabrina comes face-to-face with the family’s deadliest enemy—the mysterious Master—who reveals a secret so shocking it will rock the entire family to its core.",Michael Buckley,13062
English,101094,The Famished Road,3.73, has become a classic. Like Salman Rushdie's ,Ben Okri,8936
English,8565083,Cinderella Ate My Daughter: Dispatches from the Frontlines of the New Girlie-Girl Culture,3.65,"Sweet and sassy or predatory and hardened, sexualized girlhood influences our daughters from infancy onward, telling them that how a girl looks matters more than who she is. Somewhere between the exhilarating rise of Girl Power in the 1990s and today, the pursuit of physical perfection has been recast as ",Peggy Orenstein,12039
English,13616278,The Red Knight,4.12,"Twenty eight florins a month is nowhere near enough when a wyvern's jaws snap shut on your helmet in the hot stink of battle, and the beast starts to rip the head from your shoulders. But if standing and fighting is hard, leading a company of men - or worse, a company of mercen",Miles  Cameron,10263
"
                  ",13489518,Out of the Dark ,4.5,Four packs of the powerful Grey wolves – in a rare show of cooperation – had joined together here in an effort to help their pack members find true mates. Then they were betrayed by one of their own – an Alpha hell-bent on becoming the most powerful of the Canis lupis. And though the wolf's assassination attempt on the curre,Quinn Loftis,13643
English,8087038,Chasing The Night,4.12,"A CIA agent's two-year-old child was stolen in the night as a brutal act of vengeance. Now, eight years later, this torment is something Catherine Ling awakens to every day. Her friends, family, and colleagues tell her to let go, move on, accept that her son is never coming back. But she can't. Catherine needs to find someone as driven and obsessed as she is to help her - and that person is Eve Duncan. She knows that Eve shares her nightmare, since closure is also something that eludes Eve after the disappearance of her daughter Bonnie. Now, Eve must take her talents as a forensic sculptor to another level, using age progression as a way to unite Catherine with her child. As Eve gets drawn deeper into Catherine's horror, she must face looming demons of her own.",Iris Johansen,11015
English,183092,Night Light: A Restoration Novel,4.35,Survival has become a lifestyle. When two young thieves break into the Brannings' home and clean out the food in their pantr,Terri Blackstock,8943
English,5107,The Catcher in the Rye,3.79," is an ancient child of sixteen, a native New Yorker named Holden Caulfield. Through circumstances that tend to preclude adult, secondhand description, he leaves his prep school in Pennsylvania and goes underground in New York City for three days. The boy himself is at once too simple and too complex for us to make any final comme",J.D. Salinger,2137115
English,4936457,The Time-Traveller's Guide to Medieval England: A Handbook for Visitors to the Fourteenth Century,3.99,AKA ,Ian Mortimer,12246
English,12444298,Feverborn,4.18,When the immortal,Karen Marie Moning,14494
English,106312,The Twelfth Card,3.98,"A high-school girl in Harlem, Geneva Settle, is the target of a ruthless professional killer—Thompson Boyd—who has been hired to murder her for reasons unknown. His first attempt, in a deserted museum early one morning, is a failure but it’s clear to Lincoln Rhyme that he’s going to strike again, from clues the killer leaves behind, one of which is the twelfth card in the tarot deck, The Hanged Man, whose meaning resonates eerily throughout the story.",Jeffery Deaver,12261
English,764165,The Snow Leopard,4.12,"Peter Matthiessen is the author of more than thirty books and the only writer to win the National Book Award for both non-fiction (The Snow Leopard, in two categories, in 1979 and 1980) and fiction (Shadow Country, in 2008). A co-founder of The Paris Review and a world-renowned naturalist, explorer and activist, he died in April 2014.",Peter Matthiessen,9625
English,162332,午後の曳航 [Gogo no eikō],3.89," tells the tale of a band of savage thirteen-year-old boys who reject the adult world as illusory, hypocritical and sentimental, and train themselves in a brutal callousness they call ""objectivity."" When the mother of one of them begins an affair with a ship's officer, he and his friends idealize the man at first; but it is not long before they conclude that he is in fact soft and romantic. They regard their disappointment in him as an act of betrayal on his part, and react violently.",Yukio Mishima,10669
English,16951,When the Lion Feeds,4.16,"'Something always dies when the lion feeds and yet there is meat for those that follow him.' The lion is Sean, hero of this tremendous drama of the men who took possession of South Africa in the last quarter of the nineteenth century.",Wilbur Smith,9700
English,19688,Tom Clancy's Net Force: Breaking Point,3.69,"In the year 2000, computers are the new superpowers. Those who control them control the world. To enforce the Net Laws, Congress creates the ultimate computer security agency within the FBI: the Net Force.",Steve Perry,7844
English,202948,Ladder of Years,3.72," was born in Minneapolis, Minnesota, in 1941 and grew up in Raleigh, North Carolina. She graduated at nineteen from Duke University and went on to do graduate work in Russian studies at Columbia University. ",Anne Tyler,12294
English,6351939,Sea Glass,4.0,"Like the colorful pieces of sea glass washed up on shore, Opal has weathered rough waters and twisting currents. But instead of finding a tranquil eddy, Opal is caught in a riptide. Her unique glass messengers which allow instant communication over vast distances have become a vital part of Sitian society. Once used solely by the Councilors and magicians, other powerful factions are now vying for control. Control of the messengers equals control of Sitia. Unfortunately that also means control of Opal. If that isn’t enough of a problem, Opal’s determination to prove blood magic is still being used is met with strong resistance. The Council doubts her, her mentor doubts her, and even her family is concerned. When her world is turned upside down, she begins to doubt herself. In the end, Opal must decide who to believe, who to trust, and who has control—otherwise she will shatter into a million pieces and be swept out by the tide.",Maria V. Snyder,16023
English,946899,The Measure of a Lady,3.94,"Rachel van Buren arrives in Gold Rush San Francisco with two wishes: to protect her younger siblings and to return east as soon as possible. Both goals prove more difficult than she could imagine as her brother and sister are lured by the city's dangerous freedom and a missionary-turned-gambler stakes a claim on her heart. Rachel won't give up without a fight though, and soon all will learn an eloquent but humorous lesson about what truly makes a lady. ",Deeanne Gist,9981
English,613991,The King Beyond the Gate,4.12,"Once the mighty fortress had stood strong, defended by the mightiest of all Drenai heroes, Druss, the Legend. But now a tyrannical, mad emperor had seized control of the fortress, and his twisted will was carried throughout the land by the Joinings --- abominations that were half-man, half-beast. Tenaka Khan was a half-breed himself, hated by the Drenai for his Nadir blood and despised by the Nadir for his Drenai ancestry. But he alone had a plan to destroy the emperor. The last heroes of the Drenai joined with him in a desperate gamble to bring down the emperor -- even at the cost of their own destruction.",David Gemmell,10388
French,8539798,青の祓魔師 2,4.48,"Kazue Kato, ",Kazue Kato,9993
English,116494,Anastasia Krupnik,3.89,Taken from Lowry's website:,Lois Lowry,12617
English,4984,Bagombo Snuff Box,3.72, collects Vonnegut’s favourite stories from the postwar years that,Kurt Vonnegut Jr.,8629
English,6131786,The Virgin Cure,3.74,"""I am Moth, a girl from the lowest part of Chrystie Street, born to a slum-house mystic and the man who broke her heart."" So begins The Virgin Cure, a novel set in the tenements of lower Manhattan in the year 1871. A",Ami McKay,10984
"
                ",5295735,ملحمة الحرافيش,4.34,ﻳﺼﻒ ﻟﻨﺎ ﻧﺠﻴﺐ ﻣﺤﻔﻮﻅ ﺳﻌﻲ ﺍﻟﻨﻔﺲ ﺍﻟﺒﺸﺮﻳﺔ ﺍﻟﺪﺍﺋﻢ ﺍﻟﻰ ﺍﻟﺨﻼﺹ ﻭﺗﻤﺮﺩﻫﺎ ﻋﻠﻰ ﻧﻔﺴﻬﺎ ﺍﻟﺘﻲ ﺍﺭﺗﻀﺖ ﺑﺎﻟﻮﺍﻗﻊ ﺍﻟﻤﺮﻳﺮ، ﻓﺘﺤﺜﻬﺎ ﺩﺍﺋﻤﺎ ﺍﻟﻰ ﺍﻟﺨﻼﺹ، ﻭﺍﻟﺨﺮﻭﺝ ﻣﻦ ﻧﻔﻖ ﺍﻟﻨﻔﺲ ﺍﻟﻤﻈﻠﻢ، ﻭﻟﻜﻨﻬﺎ ﺗﺼﻄﺪﻡ ﺩﺍﺋﻤﺎ ﺑﺤﺐ ﺍﻟﺪﻧﻴﺎ ﻭﺍﻏﻮﺍﺋﺎﺗﻬﺎ ﺍﻟﻼﻣﺤﺪﻭﺩﺓ ﻭﻫﻨﺎ ﻳﻜﻮﻥ ﻣﻔﺘﺮﻕ ﺍﻟﻄﺮﻕ ﺍﻟﺬﻱ ﺗﺨﺘﺎﺭ ﻓﻴﻪ ﺍﻟﻨﻔﺲ ﺍﻣﺎ ﺍﻟﺴﻴﺮ ﻋﻠﻰ ﺧﻄﻰ ﺍﻟﺼﺎﻟﺤﻴﻦ ﺍﻷﻭﺍﺋﻞ ﺃﻭ ﺍﻟﺤﻴﺎﺩ ﻋﻦ ﻃﺮﻳﻘﻬﻢ ﻭﺍﻳﺜﺎﺭ ﺷﻬﻮﺍﺗﻬﺎ ﺍﻟﺪﺍﺧﻠﻴﺔ، ﻛﻤﺎ ﻳﺼﻒ ﻟﻨﺎ ﺍﻟﺨﻨﻮﻉ ﻭﺍﻟﺬﻝ ﺍﻟﺬﻱ ﻳﺼﻴﺐ ﺍﻟﻨﻔﺲ ﻣﻦ ﺟﺮﺍﺀ ﻳﺄﺳﻬﺎ ﻣﻦ ﺧﻼﺻﻬﺎ، ﻭﺟﻬﻠﻬﺎ ﺑﺄﻥ ﺍﻟﺨﻼﺹ ﺍﻟﺤﻘﻴﻘﻲ ﻫﻮ ﺍﻟﻨﺎﺑﻊ ﻣﻦ ﺩﺍﺧﻠﻬﺎ ﻻ ﺍﻟﻤﺴﻠﻂ ﻋﻠﻴﻬﺎ ﻣﻦ ﺍﻟﺨﺎﺭﺝ ﻓﻬﻮ ﺧﻼﺹ ﺯﺍﺋﻒ ﺳﺮﻋﺎﻥ ﻣﺎ ﻳﺘﺒﺨﺮ ﻭﻳﺬﻫﺐ ﺭﻳﺤﻪ ﻭﺗﺒﻘﻰ ﺍﻟﻨﻔﺲ ﻓﻲ ﻇﻠﻤﺎﺗﻬﺎ ﺗﺒﻜﻲ ﻋﻠﻰ ﻣﺎﺽ ﻗﺪ ﺗﻮﻟﻰ ﻭﺫﻛﺮﻳﺎﺕ ﻟﻦ ﺗﻌﻮﺩ. كل ذلك في ملحمة رائعة يظهر فيها تعاقب اﻷجيال على مدى قرنين من الزمان من خلال عشر قصص لطالما كانت نبعا للسينما المصرية تنهل منه.,Naguib Mahfouz,10194
                                  ,12602078,B005LVV5LQ,3.87,Jasmine grew up wealthy and oblivious to the destruction her father caused all around him. Derek was from the wrong side of the track,Melody Anne,17736
English,23013953,Darm mit Charme,4.0,"For too long, the gut has been the body’s most ignored and least appreciated organ, but it turns out that it’s responsible for more than just dirty work: our gut is at the core of who we are. Gut: The Inside Story of our Body's Most Underrated Organ gives the alimentary canal its long-",Giulia Enders,12558
"
                  ",554674,The Story of the Trapp Family Singers,3.94,Baroness Maria Augusta von Trapp was the stepmother and matriarch of the Trapp Family Singers. Her story served as the inspiration for a 1956 German film that in turn inspired the Broadway musical The Sound of Music.—,Maria Augusta von Trapp,10265
English,9864,The Ground Beneath Her Feet,3.77,; Carly Simon,Salman Rushdie,9594
English,92918,Krondor: The Betrayal,3.81,"Raymond E. Feist was born Raymond E. Gonzales III, but took his adoptive step-father's surname when his mother remarried Felix E. Feist. He graduated with a B.A. in Communication Arts with Honors in 1977 from the University of California at San Diego. During that year Feist had some ideas for a novel about a boy who would be a magician. He wrote the novel two years later, and it was published in 1",Raymond E. Feist,11553
English,1011632,Mister B. Gone,3.32,"The Mister B. of the title is Jakabob Botch, a demon whose ghastly past could make even the most merciless sociopath whimper in sympathy. Born in the deepest regions of hell, the spawn of an abusive drunkard and his whorish wife, Jakabob escapes to the world above after suffering fiendish torture. Once topside, he lands conveniently in 15th-century Mainz, the home of printing inventor Johannes Gutenberg. However, Mister B. isn't interested in merely observing history; like any other self-respecting diabolical being, he's just searching for a new demonic angle. A ghoulishly good fright fest.",Clive Barker,10600
English,6872,The Comfort of Strangers,3.44,"As their holiday unfolds, Colin and Maria are locked into their own intimacy. They groom themselves meticulously, as though there waits someone who cares deeply about how they appear. Then they meet a man with a disturbing story to tell and become drawn into a fantasy of violence and obsession.",Ian McEwan,10514
English,17901125,The Mime Order,4.2,"As Scion turns its all-seeing eye on the dreamwalker, the mime-lords and mime-queens of the city's gangs are invited to a rare meeting of the Unnatural Assembly. Jaxon Hall and his Seven Seals pr",Samantha Shannon,13502
"
                  ",13178410,Wool 2: Proper Gauge,4.15,"A cleaning has been performed, and now the silo is without a sheriff. With only one good candidate available, Mayor Jahns and Deputy Mames set off for the Down Deep to recruit her in person. Along the way, they discover much about each other, troubling news about this candidate, and stumble upon fractured alliances that could spell the doom of a silo they've worked long years to protect.",Hugh Howey,10328
"
                  ",7494887,"
                  045123023X
                      ",4.09,"Between America's retreat from China in late November 1941 and the moment General MacArthur's airplane touched down on the Japanese mainland in August of 1945, five men connected by happenstance fought the key battles of the war against Japan. From the debacle in Bataan, to the miracle at Midway and the relentless vortex of Guadalcanal, their solemn oaths to their country later led one to the Great Marianas Turkey Shoot and the others to the coral strongholds of Peleliu, the black terraces of Iwo Jima and the killing fields of Okinawa, until at last the survivors enjoyed a triumphant, yet uneasy, return home. ",Hugh Ambrose,9388
English,52588,Cunt: A Declaration of Independence,3.88,"An ancient title of respect for women, the word cunt long ago veered off this noble path. Inga Muscio traces the road from honor to expletive, giving women the motivation and tools to claim cunt as a positive and powerful force in their lives. In this fully revised edition, she explores, with candidness and humor, such traditional feminist issues as birth control, sexuality, jealousy between women, and prostitution with a fresh attitude for a new generation of women. Sending out a call for every woman to be the Cunt lovin Ruler of Her Sexual Universe, Muscio stands convention on its head by embracing all things cunt-related. This edition is fully revised with updated resources, a new foreword from sexual pioneer Betty Dodson, and a new afterword by the author.",Inga Muscio,8657
English,13129925,Horrorstör,3.59,"To unravel the mystery, three employees volunteer to work a nine-hour dusk-til",Grady Hendrix,12371
English,13065327,Wild Cards,3.95,"After getting kicked out of boarding school, bad boy Derek Fitzpatrick has no choice but to live with his ditzy stepmother while his military dad is deployed. Things quickly go from bad to worse when he finds out she plans to move them back to her childhood home in Illinois. Derek’s counting the days before he can be on his own, and the last thing he needs is to get involved with someone else’s family drama. ",Simone Elkeles,15495
English,31975,"Astonishing X-Men, Volume 2: Dangerous",4.19,: ,Joss Whedon,10049
English,76248,"Sherlock Holmes of Baker Street, the life of the world’s first consulting detective.",4.41,.,William S. Baring-Gould,8785
English,2227371,The Lollipop Shoes,3.8,"The wind has always dictated Vianne Rocher's every move, buffeting her from the French village of Lansquenet-sous-Tannes to the crowded streets of Paris. Cloaked in a new identity, that of widow Yanne Charbonneau, she opens a chocolaterie on a small Montmartre street, determined to still the wind at last and keep her daughters, Anouk and baby Rosette, safe. But the weather vane soon turns, and Zozie de l'Alba blows into their lives. Charming and enigmatic, Zozie provides the brightness that Yanne's life needs--as her vivacity and bold lollipop shoes dazzle rebellious and impressionable preadolescent Anouk. But beneath their new friend's benevolent facade lies a ruthless treachery--for devious, seductive Zozie has plans that will shake their world to pieces.",Joanne Harris,12997
English,23341855,Ride Steady,4.45,"Once upon a time, Carissa Teodoro believed in happy endings. Money, marriage, motherhood: everything came easy---until she woke up to the ugly truth about her Prince Charming. Now a struggling, single mom and stranded by a flat tire, Carissa's pondering her mistakes when a vaguely familiar knight rides to her rescue on a ton of horsepower.",Kristen Ashley,19572
English,129237,A Theory of Justice,3.91,"Rawls aims to express an essential part of the common core of the democratic tradition - justice as fairness - and to provide an alternative to utilitarianism, wh",John Rawls,9162
English,1824,The Men Who Stare at Goats,3.59, and ,Jon Ronson,10792
                                  ,18943009,B00GW9K8EG,4.46,"The tempestuous sequel to Bad Things picks up where the first book left off. Reeling from a profound loss, Tristan and Danika struggle to pick up the pieces and build a life together, but the hard habits of a lifeti",R.K. Lilley,18782
English,16158498,Give and Take: A Revolutionary Approach to Success,4.06," For generations, we have focused on the individual drivers of success: passion, hard work, talent, and luck. But today, success is increasingly dependent on how we interact with others. It turns out that at work, most people operate as either takers, matchers, or givers. Whereas takers strive to get as much as possible from others and matchers aim to trade evenly, givers are the rare breed of people who contribute to others without expecting anything in return.",Adam M. Grant,11607
English,21393526,Magonia,3.59,"Since she was a baby, Aza has suffered from a mysterious lung disease that makes it ever harder for her to breathe, to speak—to live. ",Maria Dahvana Headley,13829
English,263173,ヴァンパイア騎士 2,4.25,Name in Japanese: 樋野 まつり,Matsuri Hino,13777
English,22062202,Marked in Flesh,4.31,", the fragile yet powerful human blood prophets who were being expl",Anne Bishop,14155
English,16074758,Dangerous Girls,4.14,As Anna sets out to find her,Abigail Haas,13198
Italian,61266,Novecento,4.19," era un piroscafo. Negli anni tra le due guerre faceva la spola tra Europa e America, con il suo carico di miliardari, di emigranti e di gente qualsiasi. Dicono che sul ",Alessandro Baricco,11920
English,8034188,Where Good Ideas Come From: The Seven Patterns of Innovation,4.03,"The printing press, the pencil, the flush toilet, the battery--these are all great ideas. But where do they come from? What kind of environment breeds them? What sparks the flash of brilliance? How do we generate the breakthrough technologies that push forward our lives, our society, our culture? Steven Johnson's answers are revelatory as he identifies the seven key patterns behind genuine innovation, and traces them across time and disciplines. From Darwin and Freud to the halls of Google and Apple, Johnson investigates the innovation hubs throughout modern time and pulls out the approaches and commonalities that seem to appear at moments of originality.",Steven Johnson,8666
English,18089900,The Serpent of Venice,3.86,"Venice, a long time ago. Three prominent Venetians await their most loathsome and foul dinner guest, the erstwhile en",Christopher Moore,10448
English,13010211,Promised,3.77,"After defying the ruthless Enclave, surviving the wasteland, and overthrowing Sylum, Gaia Stone now faces her greatest challenge yet--to lead the people of Sylum back to the Enclave and persuade the Protectorat to grant them refuge. But in Gaia's absence, the Enclave has become even more ruthless, picking girls from outside the wall to serve in an experimental baby factory. Babies with the right genes are now a priceless commodity with the potential to reshape life inside the wall and redefine humanity. The key to it all comes back to one fearless, young midwife. When negotiations devolve into terrorist threats, Gaia finds herself at the crux of an insupportable decision.",Caragh M. O'Brien,12933
English,29948,The Bridge Across Forever: A True Love Story,3.88, bestseller list! Richard Bach's timeless and uplifting classic of hope and love,Richard Bach,9311
English,117835,Nourishing Traditions:  The Cookbook that Challenges Politically Correct Nutrition and the Diet Dictocrats,4.23, offers modern families a fascinating guide to wise food choices and proper preparation techniques. Fallon unites the w,Sally Fallon Morell,9822
English,37300,Broken Prey,4.15,"The first body is of a young woman, found on a Minneapolis riverbank, her throat cut, her body scourged and put on display. Whoever did this, Lucas Davenport knows, is pushed by brain chemistry. There is something wrong with him. This isn’t a bad love affair.The second body is found three weeks later, in a farmhouse six miles south. Same condition, same display—except this time it is a man. Nothing to link the two victims, nothing to indicate that the killings end here.",John Sandford,12420
English,10940958,Blue Monday,3.77,"The abduction of five-year-old Matthew Farraday provokes a national outcry and a desperate police hunt. And when a picture of his face is splashed over the newspapers, psychotherapist Frieda Klein is left troubled: one of her patients has been relating dreams in which he has a hunger for a child. A child he can describe in perfect detail, a child the spitting image of Matthew.",Nicci French,11468
English,33896,Thirteen Moons,3.64,"At the age of twelve, an orphan named Will Cooper is given a horse, a key, and a map and is sent on a journey through the uncharted wilderness of the Cherokee Nation. Will is a bound boy, obliged to run a remote Indian trading post. As he fulfills his lonesome duty, Will finds a father in Bear, a Cherokee chief, and is adopted by him and his people, developing relationships that ultimately forge Will’s character. All the while, his love of Claire, the enigmatic and captivating charge of volatile and powerful Featherstone, will forever rule Will’s heart. In a voice filled with both humor and yearning, Will tells of a lifelong search for home, the hunger for fortune and adventure, the rebuilding of a trampled culture, and above all an enduring pursuit of passion.",Charles Frazier,10178
English,16128105,Big Brother,3.4,"For Pandora, cooking is a form of love. Alas, her husband, Fletcher, a self-employed high-end cabinetmaker, now spurns the “toxic” dishes that he’d savored through their courtship, and devotes hours each day to manic cycling. Then, when Pandora picks up her older brother Edison at the airport, she doesn’t recognize him. In the years since they’ve seen one another, the once slim, hip New York jazz pianist has gained hundreds of pounds. What happened? After Edison has more than overstayed his welcome, Fletcher delivers his wife an ultimatum: It’s him or me.",Lionel Shriver,10527
English,40465,Thank You for Smoking,3.92,"Nick Naylor likes his job. In the neo-puritanical nineties, it's a challenge to defend the rights of smokers and a privilege to promote their liberty. Sure, it hurts a littIe when you're compared to Nazi war criminals, but Nick says he's just doing what it takes to pay the mortgage and put his son through Washington's elite private school St. Euthanasius. He can handle the pressure from the antismoking zealots, but he is less certain about his new boss, BR, who questions whether Nick is worth $150,000 a year to fight a losing war. Under pressure to produce results, Nick goes on a PR offensive. But his heightened notoriety makes him a target for someone who wants to prove just how hazardous smoking can be. If Nick isn't careful, he's going to be stubbed out.",Christopher Buckley,10001
English,1197646,Parts,4.25, deals with a subject of deepest interest to every young child: the stuff our bodies shed.,Tedd Arnold,10840
English,12522507,Hidden,3.88,"Jacinda was supposed to bond with Cassian, the ""prince"" of their pride. But she resisted long before she fell in love with Will—a human and, worse, a hunter. When she ran away with Will, it ended in disaster, with Cassian's sister, Miram, captured. Weighed down by guilt, Jacinda knows she must rescue her to set things right. Yet to do so she will have to venture deep into the heart of enemy territory.",Sophie Jordan,15916
